"","ID","RegionName","NVotes","Leave","Residents","Households","AdultMeanAge","White","Owned","OwnedOutright","SocialRent","PrivateRent","Students","Unemp","UnempRate_EA","HigherOccup","Density","Deprived","MultiDepriv","Proportion","Vote","Age_18to44","Age_45_above","non_white","high_education_level","low_education_level","High_education_level","Low_education_level"
"113",113,"L",7696,2378,14109,6235,40,69.4,36.7,10.7,30.3,31,10,4.5,5.9,52.6,42.3,56.4,23.8,0.308991683991684,"Remain",56.4,25.3,32,49.5,15,49.5,15
"114",114,"EE",2559,1406,3750,1482,46.7,75.8,60.4,22.3,29.6,8.5,3.8,5.4,7.2,31.4,36,58.9,28.1,0.549433372411098,"Leave",36.8,39.6,35.8,22.2,23.3,22.2,23.3
"115",115,"L",6612,3703,10442,3832,45.7,75.4,44.4,12,44.5,9,5.3,6.6,9.9,26,44.2,68,34.2,0.560042347247429,"Leave",38.1,36.8,24.1,21.2,30.8,21.2,30.8
"116",116,"SE",3579,2099,8093,3490,46.3,92.3,69.2,17.4,18.5,11.5,1.9,3.9,4.9,37.4,48,51.7,19.2,0.586476669460743,"Leave",38.5,39.8,8.8,26,18.2,26,18.2
"117",117,"NW",6678,4102,11683,5090,50.7,95.5,84.6,32.9,5.6,9.2,2.7,3.2,4.4,29.4,23.2,58.6,25.6,0.614255765199161,"Leave",31.8,48.3,5.4,17.5,25.9,17.5,25.9
"118",118,"L",8747,4032,12472,4995,41.2,41.5,41.9,16.1,11,44.6,9,4.8,6.5,45.2,73.2,59.5,22.9,0.460958042757517,"Remain",53.7,27.7,83.6,46,11.7,46,11.7
"119",119,"EE",3079,1232,6437,2593,51.5,95.7,76.4,31.7,15.3,6.9,2.7,2.9,4,51,2.6,44.6,13.7,0.400129912309191,"Remain",28.6,47.1,4.2,43.7,13,43.7,13
"120",120,"WM",4675,2526,12698,4802,38.2,38.4,36.6,15.3,33.5,27.1,22.1,9.3,15.2,18,36.5,75.7,39.9,0.540320855614973,"Leave",54.1,23.2,80.2,19.9,25.8,19.9,25.8
"121",121,"EE",4979,2370,11109,5221,45.3,85.4,43.7,15.8,3.3,51.3,6.1,7,9.6,33.3,69.4,64.4,30,0.475999196625828,"Remain",47,36.8,15.2,26.2,22,26.2,22
"122",122,"EM",5782,1829,21503,7699,31.1,60.4,22.7,9.6,19.9,55.9,51,4.2,8.8,37.1,91.2,60.1,24.2,0.316326530612245,"Remain",73.3,16.2,49.3,28,11,28,11
